# AI-review status, one row per notebook. Maintained by build_ai_review_status.py;
# EDIT THE status AND reviewed_date COLUMNS BY HAND -- that is the point of the file.
#
#   unreviewed      agent-touched prose, not yet reviewed -> student-facing banner
#   reviewed        signed off -> no banner. Set reviewed_date too (YYYY-MM-DD).
#   reviewed-stale  was reviewed, prose changed since -> banner returns. Re-read,
#                   then set back to `reviewed`. NEVER set automatically to
#                   `reviewed` -- that would hide an edit made after sign-off.
#   exempt          never banner (no agent-touched prose, or none student-facing).
#
# changed/added are COUNTS OF MARKDOWN CELLS vs the immutable anchor feb00d2
# (2026-08-17). `changed` displaced an existing human voice and is the serious
# column; `added` is new prose that displaced nothing.
#
# LIMIT: this is blind to AI text older than the anchor. Read it as "everything
# since agent editing began", never as "all AI-drafted text".
#
# Re-running the generator PRESERVES your `reviewed` rows. It is safe.

path	status	reviewed_date	changed	added	voice	note
notebooks/6-dev/Math-Primer.ipynb	unreviewed		6	1	dowling	
notebooks/6-dev/Newton-Methods.ipynb	unreviewed		4	0	dowling	
notebooks/6-dev/Optimality.ipynb	unreviewed		2	0	dowling	
notebooks/6-dev/Quasi-Newton-Methods.ipynb	unreviewed		3	0	dowling	
notebooks/7-dev/Constraint-Qualifications.ipynb	unreviewed		8	0	dowling	
notebooks/7-dev/Convexity.ipynb	unreviewed		5	0	dowling	
notebooks/7-dev/Interior-Point1.ipynb	unreviewed		1	0	dowling	
notebooks/7-dev/Interior-Point2.ipynb	unreviewed		1	0	dowling	
notebooks/7-dev/KKT-Multipliers.ipynb	unreviewed		1	0	dowling	
notebooks/7-dev/Local-Optimality.ipynb	unreviewed		3	1	dowling	
notebooks/7-dev/NLP-Diagnostics.ipynb	unreviewed		6	0	dowling	
notebooks/7-dev/SQP.ipynb	unreviewed		0	19	ai-drafted	
notebooks/7-dev/Second-Order.ipynb	unreviewed		1	0	dowling	
notebooks/7-dev/degeneracy_hunter.ipynb	unreviewed		2	0	contributed	
notebooks/8-dev/Bayesian-Opt.ipynb	exempt		0	0	dowling	
notebooks/8-dev/Deterministic_Global_Optimization.ipynb	unreviewed		0	39	contributed	
notebooks/8-dev/Global-Opt.ipynb	unreviewed		1	18	ai-drafted	
notebooks/8-dev/MILP.ipynb	exempt		0	0	dowling	
notebooks/8-dev/MINLP-Algorithms.ipynb	unreviewed		1	25	ai-drafted	
notebooks/8-dev/Special-Topics.ipynb	exempt		0	0	dowling	
notebooks/contrib-dev/Bayesian_Optimization1.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Bayesian_Optimization2.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/DAEModeling_numericIntegration.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/DAE_background.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Disaster_Response_Plan.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/EM-MAP.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Logical_Modeling_GDP.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Modeling_Disjunctions_Strip_Packing.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/PyomoDAE_example.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/PyomoDAE_theory.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Pyomo_DoE_Tutorial.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Stochastic-Gradient-Descent-1.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Stochastic-Gradient-Descent-2.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/Stochastic-Gradient-Descent-3.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/advanced_stochastic_programming.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/blending.ipynb	unreviewed		3	0	contributed	
notebooks/contrib-dev/more_circle_packing.ipynb	unreviewed		6	0	contributed	
notebooks/contrib-dev/multi_objective.ipynb	unreviewed		8	0	contributed	
notebooks/contrib-dev/old/blending.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/hot_air_ballon.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/portfolio_optimization_extended.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/race_car_extended.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/semiconductor_manufacturing.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/student_diet.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/old/vehicle_routing.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/portfolio_optimization_extended.ipynb	unreviewed		0	1	contributed	
notebooks/contrib-dev/race_car_extended.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/reactor_design.ipynb	unreviewed		5	1	contributed	
notebooks/contrib-dev/semiconductor_manufacturing.ipynb	exempt		0	0	contributed	
notebooks/contrib-dev/student_diet.ipynb	unreviewed		4	0	contributed	
notebooks/contrib-dev/vehicle_routing.ipynb	unreviewed		6	0	contributed	
notebooks/contrib/Bayesian_Optimization1.ipynb	exempt		0	0	contributed	
notebooks/contrib/Bayesian_Optimization2.ipynb	exempt		0	0	contributed	
notebooks/contrib/DAEModeling_numericIntegration.ipynb	exempt		0	0	contributed	
notebooks/contrib/DAE_background.ipynb	exempt		0	0	contributed	
notebooks/contrib/Disaster_Response_Plan.ipynb	exempt		0	0	contributed	
notebooks/contrib/EM-MAP.ipynb	exempt		0	0	contributed	
notebooks/contrib/Logical_Modeling_GDP.ipynb	exempt		0	0	contributed	
notebooks/contrib/Modeling_Disjunctions_Strip_Packing.ipynb	exempt		0	0	contributed	
notebooks/contrib/Project_1_Blending_Problem.ipynb	exempt		0	0	contributed	
notebooks/contrib/PyomoDAE_example.ipynb	exempt		0	0	contributed	
notebooks/contrib/PyomoDAE_theory.ipynb	exempt		0	0	contributed	
notebooks/contrib/Pyomo_DoE_Tutorial.ipynb	exempt		0	0	contributed	
notebooks/contrib/Stochastic-Gradient-Descent-1.ipynb	exempt		0	0	contributed	
notebooks/contrib/Stochastic-Gradient-Descent-2.ipynb	exempt		0	0	contributed	
notebooks/contrib/Stochastic-Gradient-Descent-3.ipynb	exempt		0	0	contributed	
notebooks/contrib/advanced_stochastic_programming.ipynb	exempt		0	0	contributed	
notebooks/contrib/blending.ipynb	unreviewed		3	0	contributed	
notebooks/contrib/more_circle_packing.ipynb	unreviewed		6	0	contributed	
notebooks/contrib/multi_objective.ipynb	unreviewed		8	0	contributed	
notebooks/contrib/portfolio_optimization_extended.ipynb	unreviewed		0	1	contributed	
notebooks/contrib/race_car_extended.ipynb	exempt		0	0	contributed	
notebooks/contrib/reactor_design.ipynb	unreviewed		5	1	contributed	
notebooks/contrib/semiconductor_manufacturing.ipynb	exempt		0	0	contributed	
notebooks/contrib/student_diet.ipynb	unreviewed		4	0	contributed	
notebooks/contrib/vehicle_routing.ipynb	unreviewed		6	0	contributed	
